,,,,,,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,4,4,4,4,5,5,5,5,5,5,5,6,6,6,6,6,6,6,7,7,7,7,7,7,7,8,8,8,8,8,8,8,9,9,9,9,9,9,9,10,10,10,10,10,10,10,11,11,11,11,11,11,11,12,12,12,12,12,12,12,13,13,13,13,13,13,13,14,14,14,14,14,14,14,15,15,15,15,15,15,15,16,16,16,16,16,16,16,17,17,17,17,17,17,17,18,18,18,18,18,18,18,19,19,19,19,19,19,19,20,20,20,20,20,20,20,21,21,21,21,21,21,21
局數,球序,發球者姓名,比分,勝負,板數,發球者代碼,正反手,己方落點,對方落點,技術,速度,旋轉,長短,正反手,己方落點,對方落點,技術,速度,旋轉,長短,正反手,己方落點,對方落點,技術,速度,旋轉,長短,正反手,己方落點,對方落點,技術,速度,旋轉,長短,正反手,己方落點,對方落點,技術,速度,旋轉,長短,正反手,己方落點,對方落點,技術,速度,旋轉,長短,正反手,己方落點,對方落點,技術,速度,旋轉,長短,正反手,己方落點,對方落點,技術,速度,旋轉,長短,正反手,己方落點,對方落點,技術,速度,旋轉,長短,正反手,己方落點,對方落點,技術,速度,旋轉,長短,正反手,己方落點,對方落點,技術,速度,旋轉,長短,正反手,己方落點,對方落點,技術,速度,旋轉,長短,正反手,己方落點,對方落點,技術,速度,旋轉,長短,正反手,己方落點,對方落點,技術,速度,旋轉,長短,正反手,己方落點,對方落點,技術,速度,旋轉,長短,正反手,己方落點,對方落點,技術,速度,旋轉,長短,正反手,己方落點,對方落點,技術,速度,旋轉,長短,正反手,己方落點,對方落點,技術,速度,旋轉,長短,正反手,己方落點,對方落點,技術,速度,旋轉,長短,正反手,己方落點,對方落點,技術,速度,旋轉,長短,正反手,己方落點,對方落點,技術,速度,旋轉,長短
1,1,何卓佳(RSH),00:01,0,4,X,F,3,3,1,2,2,A,B,3,2,1,2,1,8,B,2,3,2,2,1,A,B,3,2,2,2,1,8,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,何卓佳(RSH),00:02,0,7,X,F,3,5,1,1,2,2,F,5,2,A,1,2,2,B,2,5,8,1,2,5,F,5,2,1,2,1,8,B,2,3,5,2,1,A,F,3,1,3,3,1,7,F,1,0,B,2,1,O,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,孫穎莎(RSH),00:03,1,4,Y,F,3,2,1,1,2,5,B,2,3,1,2,1,A,B,3,2,2,2,1,8,B,2,0,2,2,1,T,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4,孫穎莎(RSH),00:04,1,6,Y,F,3,5,1,1,2,2,B,5,2,4,2,1,8,B,2,3,1,2,1,A,B,3,2,2,2,1,8,B,2,3,2,2,1,A,B,3,0,2,2,1,O,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,5,何卓佳(RSH),00:05,0,8,X,F,3,4,1,1,2,1,F,4,5,8,1,2,2,F,5,2,8,1,2,8,B,2,2,8,1,2,6,B,2,5,1,2,1,8,B,5,3,6,2,1,A,B,3,1,6,2,1,7,F,1,1,3,3,1,7,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,6,何卓佳(RSH),01:05,1,18,X,F,3,6,1,1,2,3,B,6,3,8,2,2,A,F,3,5,C,1,1,2,F,5,2,1,2,1,5,B,2,2,5,1,1,8,B,2,3,1,2,1,A,B,3,3,2,2,1,A,B,3,2,2,2,1,8,B,2,3,2,2,1,A,B,3,2,2,2,1,8,B,2,3,2,2,1,A,B,3,2,2,2,1,8,B,2,3,2,2,1,A,B,3,3,2,2,1,A,B,3,1,6,2,1,7,F,1,2,1,3,1,8,B,2,3,5,2,1,A,B,3,0,1,2,1,T,S,,,,,,,,,,,,,,,,,,,,
1,7,孫穎莎(RSH),01:06,1,4,Y,F,3,2,1,1,2,5,B,2,3,4,2,1,A,B,3,3,1,2,1,A,B,3,0,2,2,1,O,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,8,孫穎莎(RSH),01:07,1,6,Y,F,3,3,1,2,2,A,B,3,3,1,2,1,A,B,3,2,6,2,1,8,F,2,1,1,2,1,7,F,1,1,2,2,1,7,F,1,0,2,2,1,O,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,9,何卓佳(RSH),02:07,1,8,X,F,3,6,1,1,2,3,B,6,4,8,1,2,1,F,4,6,8,1,2,3,B,6,3,8,1,2,A,B,3,5,8,1,2,5,B,5,3,8,1,2,A,B,3,3,1,2,1,A,B,3,0,2,2,1,O,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10,何卓佳(RSH),02:08,0,7,X,F,3,6,1,1,2,3,B,6,3,8,1,2,A,B,3,2,1,2,1,8,B,2,2,2,2,1,8,B,2,1,2,2,1,7,F,1,1,5,2,1,7,F,1,0,1,2,1,O,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,11,孫穎莎(RSH),03:08,0,13,Y,F,3,5,1,1,2,2,B,5,3,6,2,1,A,B,3,2,1,2,1,8,B,2,2,6,2,1,8,B,2,1,1,2,1,7,F,1,2,5,1,1,8,B,2,2,1,2,1,8,B,2,2,2,2,1,8,F,2,2,2,2,1,8,B,2,3,E,1,2,A,B,3,2,D,2,2,8,F,2,1,1,2,1,7,F,1,0,2,2,1,T,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,12,孫穎莎(RSH),03:09,1,6,Y,F,3,6,1,1,2,3,B,6,2,1,2,1,8,B,2,3,6,2,1,A,B,3,3,1,2,1,A,B,3,1,2,2,1,7,B,1,0,E,1,2,O,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,13,何卓佳(RSH),03:10,0,5,X,F,3,6,1,1,2,3,B,6,3,8,1,2,A,B,3,3,8,1,2,A,F,3,3,1,2,1,A,B,3,0,B,2,1,O,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,14,何卓佳(RSH),03:11,0,3,X,9,9,9,9,9,9,9,B,3,3,1,2,1,A,F,3,0,2,2,1,T,SG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,孫穎莎(RSH),00:01,1,2,Y,F,3,2,1,1,2,8,B,2,0,1,2,1,T,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,孫穎莎(RSH),00:02,1,3,Y,F,3,4,1,1,2,1,F,4,3,8,1,2,A,B,3,3,3,3,1,A,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,何卓佳(RSH),01:02,1,4,X,F,2,5,1,1,2,2,B,5,2,8,1,2,5,B,2,3,8,1,2,A,B,3,0,1,2,1,T,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4,何卓佳(RSH),01:03,0,4,X,F,2,3,1,1,2,A,B,3,2,1,2,1,8,B,2,2,5,2,1,8,F,2,3,1,2,1,A,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,5,孫穎莎(RSH),02:03,0,3,Y,F,3,3,1,2,2,A,B,3,2,5,2,1,8,B,2,0,1,2,1,O,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,6,孫穎莎(RSH),03:03,0,9,Y,F,3,5,1,1,2,2,B,5,2,1,1,1,8,B,2,3,6,2,1,A,B,3,2,1,2,1,8,B,2,3,2,2,1,A,B,3,1,2,2,1,7,F,1,1,2,2,1,7,F,1,1,5,2,1,7,F,1,0,2,2,1,O,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,7,何卓佳(RSH),04:03,1,6,X,F,5,2,1,1,2,2,B,2,5,8,1,2,2,F,5,3,8,1,2,A,B,3,2,1,2,1,8,B,2,1,1,2,1,7,F,1,0,2,2,1,O,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,8,何卓佳(RSH),05:03,1,5,X,F,2,5,1,1,2,2,B,5,2,8,1,2,2,B,2,3,8,1,2,A,B,3,3,1,2,1,A,B,3,3,6,2,1,A,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,9,孫穎莎(RSH),05:04,1,8,Y,F,3,2,1,1,2,8,F,2,3,8,1,2,A,B,3,2,1,2,1,8,F,2,2,2,2,1,8,F,2,2,2,3,1,8,F,2,2,B,2,1,8,F,2,3,1,3,1,A,B,3,0,B,2,1,O,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,10,孫穎莎(RSH),05:05,1,8,Y,F,3,4,1,1,2,1,F,4,1,8,1,2,7,F,1,2,1,2,1,8,B,2,2,E,2,2,8,B,2,3,D,2,2,A,F,3,3,3,3,1,A,B,3,3,B,2,1,A,F,3,0,3,3,1,T,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,11,何卓佳(RSH),05:06,0,4,X,F,2,6,1,1,2,3,B,6,2,8,1,2,8,B,2,2,8,1,2,8,F,2,2,1,2,1,8,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,12,何卓佳(RSH),05:07,0,4,X,F,2,4,1,1,2,1,F,4,6,A,1,2,1,F,6,3,8,1,2,A,B,3,1,1,2,1,7,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,13,孫穎莎(RSH),05:08,1,2,Y,F,3,1,1,2,2,7,F,1,0,1,2,1,O,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,14,孫穎莎(RSH),06:08,0,7,Y,F,3,2,1,1,2,8,F,2,2,8,1,2,8,B,2,2,1,2,1,8,B,2,3,E,2,2,A,B,3,2,D,2,2,8,F,2,3,1,2,1,A,B,3,0,6,2,1,T,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,15,何卓佳(RSH),06:09,0,6,X,F,2,5,1,1,2,2,B,5,2,8,2,1,8,B,2,2,1,2,1,8,F,2,6,2,2,1,3,B,6,2,A,1,2,8,F,2,3,1,2,1,A,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,16,何卓佳(RSH),06:10,0,2,X,F,2,1,1,2,2,7,F,1,3,1,2,1,A,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,16,孫穎莎(RSH),06:11,1,4,Y,F,3,2,1,1,2,8,F,2,3,8,2,2,A,B,3,2,1,2,1,8,B,2,0,E,2,2,O,SG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1,何卓佳(RSH),01:00,1,4,X,F,5,3,1,1,2,A,B,3,2,8,2,2,A,B,2,3,1,2,1,A,B,3,0,3,2,1,O,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
