,,,,,,,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,4,4,4,4,5,5,5,5,5,5,5,6,6,6,6,6,6,6,7,7,7,7,7,7,7,8,8,8,8,8,8,8,9,9,9,9,9,9,9,10,10,10,10,10,10,10,11,11,11,11,11,11,11,12,12,12,12,12,12,12,13,13,13,13,13,13,13,14,14,14,14,14,14,14,15,15,15,15,15,15,15,16,16,16,16,16,16,16,17,17,17,17,17,17,17,18,18,18,18,18,18,18,19,19,19,19,19,19,19,20,20,20,20,20,20,20
局數,球序,發球者姓名,比分,勝負,板數,發球者代碼,正反手,己方落點,對方落點,技術,速度,旋轉,長短,正反手,己方落點,對方落點,技術,速度,旋轉,長短,正反手,己方落點,對方落點,技術,速度,旋轉,長短,正反手,己方落點,對方落點,技術,速度,旋轉,長短,正反手,己方落點,對方落點,技術,速度,旋轉,長短,正反手,己方落點,對方落點,技術,速度,旋轉,長短,正反手,己方落點,對方落點,技術,速度,旋轉,長短,正反手,己方落點,對方落點,技術,速度,旋轉,長短,正反手,己方落點,對方落點,技術,速度,旋轉,長短,正反手,己方落點,對方落點,技術,速度,旋轉,長短,正反手,己方落點,對方落點,技術,速度,旋轉,長短,正反手,己方落點,對方落點,技術,速度,旋轉,長短,正反手,己方落點,對方落點,技術,速度,旋轉,長短,正反手,己方落點,對方落點,技術,速度,旋轉,長短,正反手,己方落點,對方落點,技術,速度,旋轉,長短,正反手,己方落點,對方落點,技術,速度,旋轉,長短,正反手,己方落點,對方落點,技術,速度,旋轉,長短,正反手,己方落點,對方落點,技術,速度,旋轉,長短,正反手,己方落點,對方落點,技術,速度,旋轉,長短,正反手,己方落點,對方落點,技術,速度,旋轉,長短
1,1,Miyuu KIHARA(RSH),01:00,1,4,X,F,2,5,1,1,2,2,F,5,3,8,1,2,A,B,3,3,1,2,1,A,B,3,0,5,2,1,O,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,Miyuu KIHARA(RSH),02:00,1,4,X,F,3,2,1,1,2,5,F,2,1,1,2,1,7,F,1,2,5,2,1,8,F,2,0,5,2,1,T,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,孫穎莎(RSH),03:00,0,5,Y,F,3,3,1,2,2,A,B,3,3,5,2,1,A,B,3,3,1,3,1,A,B,3,2,6,2,1,8,F,2,0,5,2,1,T,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4,孫穎莎(RSH),03:01,1,4,Y,F,3,1,1,1,2,1,B,1,2,8,1,2,8,F,2,3,1,3,1,A,B,3,0,B,2,1,O,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,5,Miyuu KIHARA(RSH),04:01,1,8,X,F,2,5,1,1,2,2,F,5,2,8,1,2,5,B,2,2,1,2,1,8,B,2,3,6,2,1,A,B,3,2,5,2,1,8,F,2,2,1,2,1,8,B,2,3,5,2,1,A,B,3,0,6,2,1,O,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,6,Miyuu KIHARA(RSH),04:02,0,3,X,F,3,5,1,1,2,2,B,5,2,4,2,1,8,B,2,0,5,2,1,T,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,7,孫穎莎(RSH),04:03,1,2,Y,F,3,3,1,2,2,A,B,3,0,D,1,2,T,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,8,孫穎莎(RSH),05:03,0,5,Y,F,3,3,1,2,2,A,B,3,2,D,1,2,8,B,2,3,1,2,1,A,B,3,2,6,2,1,8,F,2,0,1,2,1,T,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,9,Miyuu KIHARA(RSH),05:04,0,5,X,F,2,2,1,2,2,8,F,2,3,1,2,1,A,B,3,3,5,2,1,A,B,3,1,1,2,1,7,F,1,0,B,2,1,O,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
