,,,,,,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,4,4,4,4,5,5,5,5,5,5,5,6,6,6,6,6,6,6,7,7,7,7,7,7,7,8,8,8,8,8,8,8,9,9,9,9,9,9,9,10,10,10,10,10,10,10,11,11,11,11,11,11,11,12,12,12,12,12,12,12,13,13,13,13,13,13,13,14,14,14,14,14,14,14,15,15,15,15,15,15,15,16,16,16,16,16,16,16,17,17,17,17,17,17,17,18,18,18,18,18,18,18,19,19,19,19,19,19,19,20,20,20,20,20,20,20,21,21,21,21,21,21,21
局數,球序,發球者姓名,比分,勝負,板數,發球者代碼,正反手,己方落點,對方落點,技術,速度,旋轉,長短,正反手,己方落點,對方落點,技術,速度,旋轉,長短,正反手,己方落點,對方落點,技術,速度,旋轉,長短,正反手,己方落點,對方落點,技術,速度,旋轉,長短,正反手,己方落點,對方落點,技術,速度,旋轉,長短,正反手,己方落點,對方落點,技術,速度,旋轉,長短,正反手,己方落點,對方落點,技術,速度,旋轉,長短,正反手,己方落點,對方落點,技術,速度,旋轉,長短,正反手,己方落點,對方落點,技術,速度,旋轉,長短,正反手,己方落點,對方落點,技術,速度,旋轉,長短,正反手,己方落點,對方落點,技術,速度,旋轉,長短,正反手,己方落點,對方落點,技術,速度,旋轉,長短,正反手,己方落點,對方落點,技術,速度,旋轉,長短,正反手,己方落點,對方落點,技術,速度,旋轉,長短,正反手,己方落點,對方落點,技術,速度,旋轉,長短,正反手,己方落點,對方落點,技術,速度,旋轉,長短,正反手,己方落點,對方落點,技術,速度,旋轉,長短,正反手,己方落點,對方落點,技術,速度,旋轉,長短,正反手,己方落點,對方落點,技術,速度,旋轉,長短,正反手,己方落點,對方落點,技術,速度,旋轉,長短,正反手,己方落點,對方落點,技術,速度,旋轉,長短
1,1,孫穎莎(RSH),01:00,1,5,X,F,3,5,1,1,2,2,B,5,3,4,2,1,A,B,3,3,1,2,1,A,B,3,2,2,2,1,8,F,2,1,1,2,1,7,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,孫穎莎(RSH),02:00,1,6,X,F,3,5,1,1,2,5,F,5,2,1,2,1,8,B,2,3,5,1,1,A,B,3,2,1,2,1,8,B,2,6,2,2,1,8,B,6,0,2,2,1,O,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,王藝迪(RSH),03:00,0,2,Y,F,3,5,1,1,2,2,F,5,4,A,1,2,1,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4,王藝迪(RSH),04:00,0,3,Y,F,3,5,1,1,2,2,F,5,4,A,1,2,4,F,4,0,3,3,1,T,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,5,孫穎莎(RSH),05:00,1,8,X,F,3,2,1,2,2,8,F,2,2,1,2,1,8,B,2,2,6,2,1,8,B,2,3,1,2,1,A,B,3,1,2,2,1,7,F,1,5,5,2,1,7,F,5,1,1,2,1,7,F,1,0,1,2,1,O,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,6,孫穎莎(RSH),06:00,1,5,X,F,3,4,1,1,2,1,F,4,2,A,1,2,5,F,2,3,1,2,1,A,B,3,2,2,2,1,8,F,2,1,3,2,1,7,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,7,王藝迪(RSH),06:01,1,13,Y,F,3,5,1,1,2,2,B,5,2,8,1,2,8,B,2,2,1,2,1,8,B,2,2,6,2,1,8,B,2,2,1,2,1,8,F,2,2,1,2,1,8,B,2,2,2,2,1,8,B,2,2,2,2,1,8,B,2,3,2,2,1,A,B,3,3,2,2,1,A,B,3,5,2,2,1,8,B,5,5,1,2,1,8,F,5,1,2,2,1,7,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,8,王藝迪(RSH),07:01,0,3,Y,F,3,3,1,1,2,A,B,3,3,1,2,1,A,B,3,0,2,2,1,T,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,9,孫穎莎(RSH),07:02,0,5,X,F,3,4,1,1,2,1,F,4,2,A,1,2,2,B,2,3,8,1,2,A,B,3,3,1,2,1,A,B,3,0,B,2,1,O,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10,孫穎莎(RSH),08:02,1,4,X,F,3,5,1,1,2,5,B,5,2,4,2,1,8,B,2,2,1,2,1,8,F,2,0,2,2,1,O,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,11,王藝迪(RSH),09:02,0,3,Y,F,3,2,1,1,2,2,F,2,5,8,1,2,2,F,5,0,8,1,2,T,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,12,王藝迪(RSH),10:02,0,3,Y,F,3,2,1,1,2,5,B,2,2,8,1,2,8,B,2,0,1,2,1,O,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,13,孫穎莎(RSH),11:02,1,2,X,F,2,5,1,1,2,2,B,5,0,4,2,1,O,SG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,王藝迪(RSH),01:00,0,5,Y,F,3,5,1,1,2,2,F,5,5,8,1,2,5,F,5,5,1,2,1,8,B,5,2,6,2,1,8,F,2,0,1,2,1,T,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,王藝迪(RSH),02:00,0,5,Y,F,2,5,1,1,2,3,B,5,4,A,1,2,1,F,4,5,8,1,2,2,F,5,1,3,3,1,7,F,1,0,5,2,1,O,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,孫穎莎(RSH),03:00,1,4,X,F,3,5,1,1,2,5,B,5,3,4,2,1,A,B,3,3,2,2,1,A,B,3,0,2,2,1,T,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
